Diff_X		Diff_Y		Pixels_Areas		Diff_Luminosity		TypeOfSteel		Steel_Plate_Thickness		Fault
0		4		12		6		1		80		0
0		2		11		7		1		80		0
0		1		7		5		1		100		0
0		4		11		5		0		290		0
1		12		22		17		0		185		0
1		8		16		12		0		40		0
3		14		29		35		0		150		0
1		2		11		9		0		150		0
1		2		12		19		0		150		0
1		11		21		18		0		150		0
1		4		14		13		0		150		0
1		6		12		4		0		150		0
1		5		14		11		0		150		0
0		6		14		9		0		150		0
1		6		17		19		0		150		0
1		11		21		16		0		150		0
3		12		25		26		0		150		0
1		7		15		11		0		150		0
0		2		11		6		0		150		0
1		2		12		9		0		200		0
1		3		12		10		0		200		0
0		2		11		6		0		200		0
0		1		11		8		0		200		0
1		3		12		9		0		200		0
0		3		12		5		0		200		0
0		2		11		6		0		40		0
1		3		13		8		0		40		0
0		1		8		4		0		40		0
2		12		23		21		0		40		0
1		3		13		14		0		40		0
0		3		11		6		0		40		0
1		6		15		15		0		40		0
0		2		11		7		0		40		0
1		2		12		8		0		50		0
2		6		19		20		0		50		0
1		4		13		14		0		50		0
1		3		13		14		0		70		0
1		7		13		11		0		70		0
1		4		12		5		0		40		0
1		2		12		9		0		250		0
1		5		13		8		0		200		0
1		3		13		11		0		70		0
1		2		12		11		0		40		0
1		5		13		5		0		40		0
0		2		9		7		1		60		0
0		4		12		8		1		60		0
0		1		5		6		1		60		0
0		1		7		6		1		60		0
1		1		9		6		1		60		0
0		1		5		6		1		60		0
0		1		5		6		1		60		0
1		6		15		11		1		60		0
0		2		11		7		1		60		0
1		2		11		7		1		69		0
0		3		11		6		1		69		0
0		2		11		7		1		69		0
1		0		5		5		1		69		0
1		3		11		6		1		100		0
0		1		6		7		1		100		0
0		1		6		4		1		100		0
0		1		5		6		1		100		0
0		1		6		6		1		120		0
0		1		7		8		1		120		0
0		1		6		6		1		100		0
0		1		7		5		1		100		0
0		6		13		8		1		100		0
0		2		11		6		1		100		0
0		1		5		4		1		100		0
0		1		6		4		1		100		0
0		0		5		6		1		100		0
1		1		8		4		1		100		0
0		2		11		7		1		100		0
0		2		8		4		1		100		0
0		1		6		7		1		211		0
0		1		6		6		1		211		0
0		0		3		7		1		143		0
0		3		12		10		1		143		0
0		2		11		8		1		80		0
1		12		22		15		0		40		0
1		11		22		23		0		40		0
2		11		21		15		0		40		0
0		1		11		5		0		40		0
0		0		4		4		0		60		0
3		15		30		24		0		60		0
1		1		11		8		0		200		0
0		1		11		9		0		220		0
0		2		8		4		0		220		0
1		3		12		9		0		40		0
1		3		12		8		0		40		0
1		3		13		13		0		40		0
1		5		14		13		0		40		0
1		6		17		16		0		40		0
1		6		16		10		0		40		0
1		2		12		12		0		100		0
0		0		5		4		0		100		0
1		2		12		7		0		40		0
0		2		11		4		0		70		0
0		4		11		5		0		70		0
0		1		11		5		0		70		0
0		1		11		6		0		70		0
0		1		5		4		0		70		0
1		2		11		4		0		70		0
1		2		12		15		0		120		0
1		11		19		13		0		175		0
1		5		15		12		0		125		0
1		1		11		11		0		125		0
2		11		22		24		0		125		0
1		2		12		10		0		125		0
1		2		11		9		0		125		0
0		1		11		8		0		40		0
1		3		12		8		0		50		0
1		3		13		11		0		50		0
0		2		11		14		0		90		0
0		3		12		7		0		90		0
0		8		13		12		0		90		0
0		7		13		10		0		90		0
0		3		11		12		0		90		0
1		4		13		8		0		90		0
0		2		11		9		0		90		0
1		8		17		7		0		90		0
1		9		18		7		0		90		0
1		4		13		7		0		90		0
1		3		12		5		0		90		0
1		3		12		12		0		90		0
0		2		11		6		0		90		0
1		6		13		9		0		90		0
1		8		17		13		0		90		0
1		3		12		10		0		90		0
1		11		19		11		0		90		0
0		3		12		10		0		90		0
0		4		12		8		0		90		0
1		8		17		12		0		90		0
1		5		14		12		0		90		0
1		3		12		9		0		90		0
0		2		11		8		1		70		0
1		14		24		20		1		70		0
0		1		7		4		0		40		0
0		2		11		9		0		40		0
1		2		11		9		0		60		0
0		2		8		4		0		60		0
1		13		22		19		1		80		0
0		5		11		12		1		100		0
1		3		12		11		0		40		0
0		1		11		7		0		40		0
1		1		11		10		0		40		0
1		13		23		19		0		40		0
1		5		15		15		0		40		0
1		3		12		11		0		40		0
1		6		14		9		0		40		0
1		3		12		10		0		40		0
0		2		11		8		1		70		0
1		1		11		8		1		70		0
0		2		11		9		1		70		0
1		3		12		12		1		70		0
0		5		12		10		1		70		0
0		2		11		6		1		70		0
0		2		11		10		1		70		0
0		2		11		11		1		70		0
1		1		11		5		1		100		1
1		0		5		4		1		70		1
1		2		12		6		1		70		1
1		5		14		9		1		70		1
1		1		8		3		1		70		1
1		1		6		6		1		70		1
2		11		21		7		1		70		1
4		11		22		6		1		70		1
3		4		15		6		1		70		1
1		5		13		7		1		70		1
1		5		13		7		1		70		1
1		3		12		5		1		70		1
1		2		11		8		1		70		1
1		4		12		9		1		70		1
0		1		7		4		1		70		1
0		1		5		3		1		70		1
0		1		5		7		1		70		1
1		3		14		4		1		70		1
0		1		8		4		1		70		1
1		1		6		5		1		70		1
2		1		11		5		1		70		1
1		1		11		4		1		70		1
1		1		5		4		1		70		1
0		1		7		9		1		70		1
1		1		7		4		1		70		1
2		8		17		6		1		70		1
11		11		25		10		1		70		1
2		3		13		5		1		70		1
0		1		5		3		1		70		1
1		1		7		4		1		70		1
1		0		5		4		1		70		1
1		5		13		10		1		70		1
1		1		11		4		1		70		1
1		1		7		4		1		70		1
0		1		6		5		1		70		1
1		2		11		4		1		70		1
1		2		11		5		1		70		1
2		6		18		8		1		70		1
1		2		11		7		1		70		1
1		5		14		7		1		70		1
1		1		11		4		1		70		1
1		0		7		4		1		70		1
0		2		7		5		1		70		1
1		11		18		8		1		70		1
3		12		22		12		1		70		1
2		9		19		11		1		70		1
2		6		15		7		1		70		1
3		7		19		6		1		70		1
11		13		24		13		1		70		1
2		8		19		7		1		70		1
2		5		15		5		1		70		1
3		13		27		13		1		70		1
2		8		21		7		1		70		1
3		9		21		8		1		70		1
2		5		15		7		1		70		1
3		11		22		10		1		70		1
2		11		22		11		1		70		1
3		4		17		5		1		70		1
2		8		21		8		1		70		1
4		11		23		9		1		70		1
2		4		16		5		1		70		1
1		6		15		5		1		70		1
3		5		16		6		1		70		1
1		1		6		5		1		70		1
2		9		21		7		1		70		1
1		3		12		6		1		70		1
1		1		11		5		1		70		1
1		2		11		6		1		70		1
0		2		7		4		1		70		1
7		12		27		9		1		70		1
1		1		11		4		1		70		1
1		2		12		8		1		70		1
1		1		6		5		1		70		1
1		0		6		4		1		70		1
1		1		5		3		1		70		1
2		1		12		8		1		70		1
1		0		5		4		1		70		1
0		2		11		5		1		70		1
0		1		5		13		1		70		1
0		1		6		5		1		70		1
2		6		17		6		1		70		1
2		3		14		7		1		70		1
0		1		6		4		1		70		1
1		1		11		5		1		70		1
1		1		8		3		1		70		1
0		1		5		6		1		70		1
1		2		12		4		1		70		1
1		0		7		4		1		70		1
3		2		12		6		1		70		1
1		3		13		7		1		70		1
1		1		5		3		1		70		1
1		1		9		4		1		70		1
1		1		6		4		1		70		1
1		1		7		4		1		70		1
2		7		17		8		1		70		1
2		1		11		4		1		70		1
1		1		6		4		1		70		1
1		2		11		5		1		70		1
1		2		12		4		1		70		1
1		2		11		4		1		70		1
1		2		11		4		1		70		1
1		9		21		7		1		70		1
2		2		11		5		1		70		1
3		7		21		9		1		70		1
1		1		6		3		1		70		1
2		1		12		5		1		70		1
2		2		11		4		1		70		1
1		5		14		5		1		70		1
1		2		12		4		1		70		1
1		1		9		4		1		70		1
0		1		5		4		1		70		1
7		4		18		5		1		70		1
1		1		6		4		1		70		1
1		1		6		4		1		70		1
2		1		11		7		1		70		1
3		3		13		6		1		70		1
1		1		6		4		1		70		1
2		1		12		9		1		70		1
3		2		15		7		1		70		1
1		2		11		6		1		70		1
2		0		7		4		1		70		1
1		1		7		6		1		70		1
1		1		8		4		1		70		1
1		0		6		4		1		70		1
1		1		8		8		1		70		1
1		1		5		5		1		70		1
2		0		5		4		1		70		1
1		1		5		4		1		70		1
1		1		11		5		1		70		1
1		1		11		4		1		70		1
1		4		14		6		1		70		1
1		3		13		7		1		70		1
1		2		11		6		1		70		1
1		1		5		4		1		70		1
1		1		11		6		1		70		1
0		1		6		5		1		70		1
1		2		12		6		1		70		1
1		1		9		5		1		70		1
1		2		11		4		1		70		1
0		1		9		4		1		70		1
1		2		11		7		1		70		1
0		1		6		5		1		70		1
0		1		6		4		1		70		1
2		1		11		3		1		70		1
1		1		11		4		1		70		1
1		1		9		3		1		70		1
1		1		11		7		1		70		1
2		8		21		10		1		70		1
1		2		11		5		1		70		1
1		11		21		9		1		70		1
0		1		8		5		1		70		1
2		6		15		8		1		70		1
1		1		9		6		1		70		1
0		2		11		5		1		70		1
1		2		12		8		1		70		1
0		1		6		5		1		70		1
1		2		11		5		1		70		1
1		0		7		5		1		70		1
2		4		15		6		1		70		1
1		0		5		3		1		70		1
1		2		11		7		1		70		1
1		1		7		5		1		70		1
1		1		9		4		1		70		1
1		4		13		7		1		70		1
1		1		11		5		1		70		1
2		11		21		9		1		70		1
0		3		11		7		1		70		1
1		1		7		8		1		70		1
1		2		11		6		1		70		1
0		1		7		5		1		70		1
0		1		6		5		1		70		1
0		1		5		4		1		100		1
2		2		13		3		0		40		1
2		1		11		2		0		40		1
5		2		16		3		0		40		1
1		1		11		2		0		40		1
5		3		15		4		0		40		1
2		1		11		3		0		40		1
3		1		11		3		0		40		1
4		2		13		3		0		40		1
1		2		11		4		0		175		1
0		3		11		5		0		175		1
1		12		21		8		0		175		1
0		3		11		3		0		175		1
2		12		21		6		0		175		1
1		2		11		3		0		175		1
1		1		11		4		0		175		1
0		2		11		3		0		175		1
2		12		23		9		0		175		1
1		5		12		6		0		175		1
1		1		7		6		0		40		2
0		1		6		5		0		40		2
0		1		6		4		0		40		2
0		1		7		9		0		40		2
1		5		14		28		0		40		2
1		0		7		3		0		40		2
1		1		11		8		0		40		2
1		11		18		33		0		40		2
1		0		7		2		0		40		2
1		1		11		3		0		40		2
1		1		11		3		0		40		2
0		1		7		5		0		40		2
0		1		5		5		0		40		2
0		1		6		8		0		40		2
0		1		6		4		0		40		2
0		1		6		2		0		40		2
0		0		7		6		0		40		2
2		2		15		28		0		40		2
1		1		11		11		0		40		2
1		1		11		11		0		40		2
0		1		9		7		0		40		2
1		1		8		8		0		40		2
1		1		8		8		0		40		2
0		0		5		4		0		40		2
0		1		7		6		0		40		2
1		1		8		9		0		40		2
0		1		8		6		0		40		2
0		1		5		4		0		40		2
0		1		5		4		0		40		2
0		0		6		4		0		40		2
0		1		6		4		0		40		2
1		1		11		6		0		40		2
1		1		9		9		0		40		2
0		0		5		4		0		40		2
6		6		22		15		0		40		2
7		4		22		22		0		40		2
1		1		12		18		0		40		2
1		1		12		18		0		40		2
1		1		11		11		0		40		2
1		2		12		17		0		40		2
1		1		11		13		0		40		2
1		4		15		6		0		40		2
2		3		16		7		1		80		2
11		38		172		31		0		40		2
12		12		45		24		0		40		2
12		12		41		25		0		40		2
12		12		45		25		0		40		2
14		12		44		24		0		40		2
12		11		40		25		0		40		2
18		12		40		23		0		40		2
12		12		42		24		0		40		2
12		12		41		24		0		40		2
13		12		41		23		0		40		2
11		11		36		23		0		40		2
11		11		37		23		0		40		2
16		11		39		24		0		40		2
11		12		37		24		0		40		2
12		12		38		25		0		40		2
11		12		37		23		0		40		2
14		11		36		26		0		40		2
16		12		36		25		0		40		2
11		12		37		24		0		40		2
11		11		38		24		0		40		2
11		12		38		23		0		40		2
11		11		38		24		0		40		2
11		11		40		23		0		40		2
11		12		38		23		0		40		2
11		12		37		23		0		40		2
11		11		38		23		0		40		2
11		11		34		23		0		40		2
18		11		36		23		0		40		2
11		11		37		23		0		40		2
1		1		11		3		0		40		2
2		2		13		2		0		40		2
11		11		36		22		0		40		2
11		11		35		22		0		40		2
11		11		35		24		0		40		2
1		1		11		2		0		40		2
11		11		36		24		0		40		2
11		11		34		23		0		40		2
11		11		35		24		0		40		2
11		11		33		22		0		40		2
11		11		36		23		0		40		2
11		11		36		23		0		40		2
11		11		34		23		0		40		2
11		11		33		23		0		40		2
11		11		33		22		0		40		2
11		12		36		23		0		40		2
3		5		19		3		0		40		2
11		11		35		24		0		40		2
11		11		31		23		0		40		2
11		11		35		23		0		40		2
11		11		33		22		0		40		2
14		11		31		22		0		40		2
11		11		33		22		0		40		2
11		11		35		23		0		40		2
11		11		32		22		0		40		2
11		11		31		22		0		40		2
11		11		31		22		0		40		2
11		11		32		22		0		40		2
2		3		15		3		0		40		2
3		3		16		4		0		40		2
11		11		30		23		0		40		2
11		11		31		23		0		40		2
2		5		17		4		0		40		2
11		11		31		23		0		40		2
11		11		30		22		0		40		2
11		11		34		23		0		40		2
11		11		32		22		0		40		2
11		11		32		21		0		40		2
11		11		33		21		0		40		2
11		11		33		22		0		40		2
11		11		32		22		0		40		2
11		11		34		22		0		40		2
11		11		34		22		0		40		2
11		11		32		21		0		40		2
11		11		33		22		0		40		2
11		11		33		21		0		40		2
11		11		30		20		0		40		2
11		11		31		23		0		40		2
11		11		33		22		0		40		2
11		11		32		21		0		40		2
11		11		32		21		0		40		2
11		11		33		21		0		40		2
11		11		33		20		0		40		2
11		11		32		22		0		40		2
11		11		31		22		0		40		2
11		11		31		21		0		40		2
